=== SHEET: ADO raw data ===
Category (functional area),Request title,Request Description,Request Type,Health Plan,Date Created,State, , , , , , , , , , , , , , , , , , , 
Data Ingestion/ETL,Load SW/FC eligibility file into current eligibility table,,Standard,,8/5/2020 1:24:00 AM,Closed,,,,,,,,,,,,,,,,,,,
Data Ingestion/ETL,"[TECH] Remove ""FCHP"" from Mapping Settings in the Eligibility API",AS A Director of Engineering I WANT FCHP to be removed from the Mapping Settings of the Eligibility API SO THAT Member s Product Line is mapped to MATIS Product Line,Customization,SWHP,8/14/2020 3:44:57 PM,Closed,,,,,,,,,,,,,,,,,,,
Data De-identification,MMM Eligibility: deID Option,Add the ability to optionally deID PHI within the MMM Pharmacy eligibility ETL,Customization,MMM,8/19/2020 5:29:08 PM,Closed,,,,,,,,,,,,,,,,,,,
Other,incorporate new fields from MATIS Eligibility table,"style margin bottom 0in margin top 0in style margin 0in 0in 0.0001pt 0.5in font size 11pt font family Calibri, sans serif margin left 0in CarrierID new field in MATIS Eligibility table style margin bottom 0in margin top 0in style margin 0in 0in 0.0001pt 0.5in font size 11pt font family Calibri, sans serif margin left 0in AccountID new field in MATIS Eligibility table style margin 0in 0in 0.0001pt 0.5in font size 11pt font family Calibri, sans serif margin left 0in PharmacyGroupID new field in MATIS Eligibility table style margin 0in 0in 0.0001pt 0.5in font size 11pt font family Calibri, sans serif margin left 0in ProductOfferCode new field in MATIS Eligibility table style margin 0in 0in 0.0001pt 0.5in font size 11pt font family Calibri, sans serif margin left 0in LegalEntity new field in MATIS Eligibility table style margin 0in 0in 0.0001pt 0.5in font size 11pt font family Calibri, sans serif margin left 0in OutOfArea new field in MATIS Eligibility table",Standard,,8/21/2020 9:23:50 PM,Closed,,,,,,,,,,,,,,,,,,,
Data Ingestion/ETL,GEHA file discovery - Eligibility (pipe delimited),"style display inline important Provide support when it comes to gap analysis, mapping to OADB,file frequency, loading to SFTP, getting test file loaded, sign off, etc",Customization,GEHA,8/28/2020 5:57:52 PM,Closed,,,,,,,,,,,,,,,,,,,
Data Ingestion/ETL,August eligibility load,,Standard,,8/31/2020 6:27:44 PM,Closed,,,,,,,,,,,,,,,,,,,
Data Ingestion/ETL,GEHA - Eligibility file load,style display inline important Need mappings to be completed prior to this,Customization,GEHA,8/31/2020 9:12:23 PM,Closed,,,,,,,,,,,,,,,,,,,
Data Ingestion/ETL,EligibilityData: Refactor MedicalBeneficiaryID to MedicareBeneficiaryID,The EligibilityData.MedicalBeneficiaryID field should be style display inline important EligibilityData. MedicareBeneficiaryID. Make eligibility db change Make mapping adjustment in ETL,Standard,,9/2/2020 5:20:06 PM,Closed,,,,,,,,,,,,,,,,,,,
Data Ingestion/ETL,Issues with FirstCare eligibility file,"style margin 0in 0in 0pt font family quot Calibri quot ,sans serif font size 11pt The August file has 801 chars in each row but June and July have 803. style margin 0in 0in 0pt font family quot Calibri quot ,sans serif font size 11pt",Standard,,9/2/2020 9:11:12 PM,Closed,,,,,,,,,,,,,,,,,,,
Data Ingestion/ETL,Revisit Eligibility ETL Table locks when records are being deleted,Eligibility ETL is locking the table and leading to performance issues. It also takes quite a bit of time to load. Is it necessary to delete records Can we soft delete records we no longer need and have a monthly job or bi monthly job that purges unnecessary records Or maybe move soft deleted records to a different table. The goal is to improve the speed of the load and lessen remove table locks,Standard,,9/3/2020 3:55:05 PM,Closed,,,,,,,,,,,,,,,,,,,
Data Ingestion/ETL,"HPHC Eligibility File Update, Add MBI fields","The HPHC Team has requested that we add another field to the end of the current eligibility file, CMS MBI NBR. We have a database field currently named MedicalBeneficiaryID to accommodate the CMS MBI NBR field so we will import CMS MBI NBR to MedicalBeneficiaryID . Updated file specifications are located here a href https teams.microsoft.com l file AAFB91D0 6324 4334 9BD6 F659F085113A tenantId 61eee4ee de28 4395 96b9 cfd15102a9bf amp fileType xlsx amp objectUrl https oncologyanalyticsinc.sharepoint.com sites ImplementationMaterials Shared 20Documents HPHP Technical Harvard 20Pilgrim 20 20Oncology 20Analytics Data 20extracts 20layouts 2020 08 28.xlsx amp baseUrl https oncologyanalyticsinc.sharepoint.com sites ImplementationMaterials amp serviceName teams amp threadId 19 64c20c0b0a044729a3bd443b47dc3c11 40thread.skype amp groupId 3d8203c1 f7bf 461e 8a0f ef4ec07fd78c https teams.microsoft.com l file AAFB91D0 6324 4334 9BD6 F659F085113A tenantId 61eee4ee de28 4395 96b9 cfd15102a9bf amp fileType xlsx amp objectUrl https 3A 2F 2Foncologyanalyticsinc.sharepoint.com 2Fsites 2FImplementationMaterials 2FShared 20Documents 2FHPHP 2FTechnical 2FHarvard 20Pilgrim 20 20Oncology 20Analytics Data 20extracts 20layouts 2020 08 28.xlsx amp baseUrl https 3A 2F 2Foncologyanalyticsinc.sharepoint.com 2Fsites 2FImplementationMaterials amp serviceName teams amp threadId 19 64c20c0b0a044729a3bd443b47dc3c11 thread.skype amp groupId 3d8203c1 f7bf 461e 8a0f ef4ec07fd78c a",Customization,HPHC,9/8/2020 5:50:12 PM,Closed,,,,,,,,,,,,,,,,,,,
Eligibility Flags,Dependent Eligibility Flag Process Update,"style box sizing border box b style box sizing border box AS A b CRS I style box sizing border box b style box sizing border box WANT b style box sizing border box the correct eligibility information to be returned for Humana eligible dependents style box sizing border box b style box sizing border box SO THAT b the correct information can be stored blockquote style margin 0 0 0 40px border none padding 0px style box sizing border box b AND b displayed in MATIS. blockquote style box sizing border box style box sizing border box b Problem b currently when an eligibility request is sent to Availity the response for dependent members NOT 01 is blank. MIRTH translates the blank into quot N quot not eligible . style box sizing border box style box sizing border box b Proposed Solution b upon receiving response from Availity, MIRTH should perform additional verification for dependent members. It has been confirmed via Colette that if a commercial policy is active and member eligible, then all members on same policy are eligible. Therefore if the primary member 01 of the policy is eligible then all dependent members within that policy should also be eligible. MIRTH would return to the Eligibility API an eligibility of quot Y quot for that verified dependent.",Customization,HUMANA,9/15/2020 8:44:23 PM,New,,,,,,,,,,,,,,,,,,,
Data Ingestion/ETL,MMM not sending medicaid members in Eligibility files,,Customization,MMM,9/15/2020 11:50:36 PM,Closed,,,,,,,,,,,,,,,,,,,
Data Ingestion/ETL,Eligibility ETL: MMM GHP File - Medicaid,"Instead of hard coding LOB as quot Medicare Risk quot , the value should be quot Medicaid quot",Customization,MMM,9/16/2020 10:19:17 PM,Closed,,,,,,,,,,,,,,,,,,,
Data Ingestion/ETL,Merge together GEHA eligibility and member file so Eligibility ETL can pick this up normally,,Customization,GEHA,10/6/2020 8:10:15 AM,Closed,,,,,,,,,,,,,,,,,,,
Data Ingestion/ETL,GEHA - Load Eligibility data into Eligibility table,"Map data according to the spec. Note Zip code is coming in as 5 and 9 digit chars. We have two columns in EligibilityMS, ZipCode and ZipPlusCode. We need to put the first 5 digits in ZipCode and the rest 4 in ZipPlusCode",Customization,GEHA,10/6/2020 10:38:16 PM,Closed,,,,,,,,,,,,,,,,,,,
Other,New Payer - Eligibility DB Setup,,Customization,GEHA,10/10/2020 5:04:26 AM,Closed,,,,,,,,,,,,,,,,,,,
Other,EligibilityData: New Deleted Fields,New fields are being added to the EligibilityData table DeletedBy DeletedOn Deleted Checksum The eligibility API will need to only consider records that have a Deleted value of 0. A value of 1 will mean that record is to be disposed of by the maintenance processes.,Standard,,10/14/2020 4:16:21 PM,Closed,,,,,,,,,,,,,,,,,,,
Other,EligibilityData: API Support for New Deleted Fields,New fields are being added to the EligibilityData table DeletedBy DeletedOn Deleted Checksum The eligibility API will need to only consider records that have a Deleted value of 0. A value of 1 will mean that record is to be disposed of by the maintenance processes.,Standard,,10/14/2020 4:18:53 PM,Closed,,,,,,,,,,,,,,,,,,,
Data Ingestion/ETL,Tufts Eligibility Ingestion,Add Tufts to the CDR for OI processing,Standard,,10/15/2020 8:15:07 PM,Closed,,,,,,,,,,,,,,,,,,,
Data Ingestion/ETL,"HPHC Eligibility failing with missing city, state, and zip","style box sizing border box font family quot Segoe UI quot , system ui, quot Apple Color Emoji quot , quot Segoe UI Emoji quot , sans serif 9 9 3 38 PM Ed Krupski Ruben Quiles I got a response from HPHC about the members without address information on the eligibility file. They said they have a process that validates the data and excludes members that are missing contract information, however they do not exclude members just for missing address information. They said that we can explore setting up an automated load or error reporting process for them that will send them the details of the data when we try to load it and then discuss what additional validation would be possible based on the load error reports that we can send to them during our import process, so this is an option if you and Salman decide it s the right direction to move in for these errors style box sizing border box font family quot Segoe UI quot , system ui, quot Apple Color Emoji quot , quot Segoe UI Emoji quot , sans serif 9 9 3 51 PM Ruben Quiles If they are not able to do it, I think it is reasonable to help them. We would need to implement that feature on the ETL. We have more hands now. So we have been talking about to implement several needed features on our ETLs. Let s review it with Salman to identify priorities and assign resources on it. Thanks,",Customization,HPHC,10/23/2020 5:35:52 PM,Closed,,,,,,,,,,,,,,,,,,,
Other,Deploy MedicareBeneficiaryID to eligibility schema and update for GHP to map properly,,Standard,,10/23/2020 10:20:55 PM,Closed,,,,,,,,,,,,,,,,,,,
Data Ingestion/ETL,Update MedicareBeneficiaryID in HPHC eligibility mapping and deploy changes,,Customization,HPHC,10/23/2020 10:24:32 PM,Closed,,,,,,,,,,,,,,,,,,,
Data Ingestion/ETL,Move all files from SFTP into appropriate ADLS storage for Eligibility/Provider/Claims/Formulary,,Standard,,10/30/2020 4:56:39 PM,Closed,,,,,,,,,,,,,,,,,,,
Data Ingestion/ETL,October Eligibility load,,Standard,,11/2/2020 5:04:21 PM,Closed,,,,,,,,,,,,,,,,,,,
Other,Eligibility tests,,Standard,,11/6/2020 12:37:05 PM,Closed,,,,,,,,,,,,,,,,,,,
Data Ingestion/ETL,Update Eligibility ADF process to write a txt file to blobs instead of parquet,,Standard,,11/10/2020 4:59:50 PM,Closed,,,,,,,,,,,,,,,,,,,
Other,Devoted - New Payer Eligibility Setup,,Customization,DEVOTED,11/19/2020 11:01:52 PM,Closed,,,,,,,,,,,,,,,,,,,
Network & PCP,HPHC - Eligibility file load to include new network codes,,Customization,HPHC,11/20/2020 10:06:48 PM,Closed,,,,,,,,,,,,,,,,,,,
Data Ingestion/ETL,PII mapping for master data model based on eligibility files,,Standard,,11/30/2020 8:09:46 PM,To Do,,,,,,,,,,,,,,,,,,,
Data Ingestion/ETL,November eligibility load,,Standard,,12/1/2020 8:48:05 PM,Closed,,,,,,,,,,,,,,,,,,,
Data Ingestion/ETL,Devoted Eligibility file - Compare analysis and discovery,,Customization,DEVOTED,12/11/2020 6:14:28 PM,Closed,,,,,,,,,,,,,,,,,,,
Data Ingestion/ETL,Harvard Pilgrim Eligibility file change,,Standard,,12/15/2020 4:38:16 PM,Closed,,,,,,,,,,,,,,,,,,,
