=== SHEET: OneUM_CRS_Intake_Assignment ===
Workflow Steps,Page / URL,Purpose,Key tasks,Key fields (required/derived),Entry points,Linked screens,Attachments/letters,Code ref (route → container),APIs fired (observed),UI
Request Submission,"Create Case (Chemo/Rad/Test) 


Note: Exact page/URL for this step isn’t provided because it cannot be reliably reproduced in the current test environment",Submit the built assignment so it lands in the CRS Pending Assignments queue,"1) Ensure Verify Eligibility has run and is successful 2) Click Assign Protocol to Patient / Assign Treatment / Assign Test 3) On success, case is created/updated and routed to the Pending Assignments queue for the same CRS who did intake","Uses all required fields from the selected assignment page (e.g., protocol/test details, height/weight/BSA for chemo, technique/dose for rad, etc.); Eligibility status must be true",From any assignment page after configuration,Dashboards & Queues → Pending Assignments (case appears for the submitting CRS) → Process Assignment,(none at this step),protocols/treatment/test → ProtocolAssignmentContainer(…) · action handler: SavePatientandAssignProtocol(true),"Eligibility check: VerifyPatientEligibilityOnPatient/?PatientId=<…>&CurrentMDId=<…>&InsuranceProviderId=<…> → Submit: SavePatientandAssignProtocol(true) → (post-submit, queue loads when navigating to Pending: GetProtocolAssignmentsWorkQueue…)",
Dashboard Access (Dashboards & Queues),Dashboards & Queues → My Assignments #/my_assignments.html (aka /queues/my),CRS personal dashboard/queue overview,"Review Due In buckets (Overdue, 1 Hour, 5 Hours, 1 Day, 3 Days, Other, All); open widgets (Recent Notifications, Pending New Documents, Unsubmitted Assignments) via VIEW DETAIL; scan My Completed Assignments; manage “Desktop” tiles","Derived counters for due buckets; widget counts (notifications, documents, unsubmitted); links to underlying lists; user context (CRS)",Left nav → Dashboards & Queues → My Assignments,"Web Assignments, Pending Assignments, Search Assignments, Process Assignment (when drilling into an item)",—,#/my_assignments.html → MyAssignmentsContainer,,
,Dashboards & Queues → Pending Assignments #/protocol_assignment.html?IsProcessed=true&IsSelf=true (aka /queues/pending),Work-queue of protocol assignments needing action,View All Assignments Due In buckets; filter by fields; search by name/Ref#; Process or Assign to Me; open Tracking,"Grid columns (from screenshot): Process/Assign to Me, Request Type, Reference#, Member ID, First, Last, DOB, State, Payer, LOB, Priority, Time Left, Assigned To, Intake CRS, Processed As, Ordering Provider, Member Calling Status",From My Assignments → Recent Notifications → VIEW DETAIL; Left nav: Dashboards & Queues → Pending Assignments,"Process Assignment, Tracking",—,#/protocol_assignment.html → ProtocolAssignmentsWorkQueueContainer,GET GetApplicationVersionAndIdleTime…; GET CheckUserPermission?PageURL=/protocol_assignment.html; GET GetUserProfile; GET GetProtocolAssignmentsWorkQueue…; GET GetByName?name=TreatmentType; GET GetProtocolAssignmentsList; GET GetAllAssignmentsDashboard/?bInAssignments=true,
Process request,Process Assignment #/ProcessAssignment.html?PatientId=<id>&AssignmentId=<id>,"Work a case: review intake, timeline, set reviewers/decisions, generate/send letters, complete case","Review patient/dx/eligibility; check countdown; edit height/weight/UoM; open section pop-ups (providers, place of treatment, denial, timeline); route to MD/RN/PharmD; generate/send letters (RAD/MD/RN/CRS); add notes; attach docs; confirm mailing; set Notification Date/Time; mark Complete","Derived: Patient demographics, Dx/Stage, Eligibility, Providers, Place of Treatment; Required before completion: Decision (approved/deny/RAD/dismiss/withdraw), Notification Date/Time",From Dashboards & Queues → Pending Assignments → Process,"Pop-ups: Generate/Send RAD, Send for MD/RN/CRS Review, Approve Complete Regimen, Process Protocol History, Patient Documents (+ reasons/history), Case Notes, Fax/Email History, Additional Info Needed, Edit Eligibility/Assignment/Billing Code, Call Log, Search Assigned Provider, Search Place of Treatment, Height & Weight, etc.",Provider & Member letters (fax/email) via pop-ups; document attach/download history,#/ProcessAssignment.html → ProcessAssignmentContainer,"Lock & page init: GET LockAssignment/?AssignmentID=<id>, GET GetApplicationVersionAndIdleTime…, GET CheckUserPermission?PageURL=/processassignment.html • Section fragments: patientDemographicsSection.html, orderingProviderSection.html, treatingProviderSection.html, placeOfTreatmentSection.html, postDenialSection.html, timeline-view.html, heightAndWeight.html • Lookups/config: GET GetByName?name=ProviderType, GET getIvrSettings/?&AssignmentId=<id>, GET getInsuranceProviderFlags/?PatientId=<id>, GET configurations, GET GetByName?name=SoCOutcome, GET GetByName?name=ClinicalQuestions…, GET GetByName?name=SOC%20Program…, GET GetTimeZone, GET GetFormLookupDataForProcessAssignment…, GET RolesAlreadyPresent, GET GetAllWorkQueueStatus, GET GetTreatmentIntentType, GET GetLanguages, GET GetAllNextActions • Assignment/patient fetch: GET GetPatientAndAssignmentById/?PatientId=<id>&AssignmentId=<id>, GET GetPatientAssignedProtocols/?AssignmentId=<id>, GET get?assignmentId=<id>&patientId=<id> • Reviewer routing & contacts: GET GetAllReviewerList?AssignmentId=<id>, GET GetAllInitialPharmDReviewerList, GET GetAllInternalExternalContactsList, GET GetUserDataById?UserID=<id> • Payer/plan helpers: GET GetLookupByInsuranceProviderTreatment…, GET GetAttributeKeyValues/?payerID=<id>, GET GetPayerAttributeValues/?payerID=<id>, GET GetAllTranslatorList, GET GetPharmacyBenefitDrugsSetting?lineOfBusiness=…, GET GetMedicalBenefitDrugsSetting?lineOfBusiness=…, GET GetAllFaxTemplateTypes?TreatmentType=…, GET GetProviderLookups/?InsuranceProviderId=<id> • Protocol/context: GET GetProtocolElementsByPId?id=<id>, GET DoesAnyDrugSupportCarT/, GET GetInfoIfProtocolElementCodesAre… • Post-denial: GET GetPostDenialConfiguration?lineOfBusiness=…, GET GetTemplateExistsAgainstPayerForTe…, GET GetAllProtocolStatus/?postDenialReasonId=… • Next actions: GET GetLatestNextAction?AssignmentId=<id> (seen twice), GET GetByName?name=Provider%20Network… • Provider list for assignment: GET GetProvidersByPatientProtocolAssignment… • Telemetry: multiple rum?ddsource=browser&ddtags=…, track

Send Approval Fax: GET GetLetterGenerationUrl?patientProtocolAssignmentId=<id> → 200; opens a new tab to generate the letter; banner shown “Letter generation has launched in a new tab. The letter for this approval will be available to send from Patient Documents once saved.” • (letter then appears under Patient Documents for sending).",
Send Approval Fax (If Processed as=auto AND protocol status=approved),Send Approval Fax (from Process) — MODAL (same Process page action),Compose and send approval fax to both Member and Provider,Open Send Fax modal → add Fax/Email recipients → Send or Save & Close,"Derived: case context, member/provider; Inputs: Fax/Email, Subject",From: Process Assignment → Send Approval Fax,-,Letters generated for Member/Provider (Provider/Member approval PDFs are queued and sent),,"case → SendFaxPopup.html (in‑page modal) — APIs observed: SendAllDocumentAsFax (200), DeleteFiles/?Type=ProviderApprovalFax (200), DeleteFiles/?Type=MemberApprovalFax (200)",
Finalize Case,Return to Process & Complete Case (same Process page),Finalize case and leave queues,Completed = Yes; Save; confirm modal,Completed flag; notification date/time (req),From Letter tab → Return to Case,—,—,case → ProcessAssignmentContainer,removeSocCase?patientProtocolAssignmentId=… → CheckUsersWorkQueue → GetProtocolElementsByPId… (confirm modal) · Save: SaveAssignmentInfoAsync + BulkUpsert + GetAssignmentById/?AssignmentId=…,
,Back to Dashboard — My Assignments #/my_assignments.html,Show updated counts after completion,Refresh widgets; zero out processed item,Derived,Auto-redirect after Save/Complete,—,—,dashboard → MyAssignmentsContainer,GetApplicationVersionAndIdleTimeOutKeepAlive · CheckUserPermission?PageURL=/my_assignments.html · GetProtocolAssignmentsList · GetMyCompletedAssignmentsCount · GetUserAssignmentCurrentlyAssigned · GetMyDashboardCount · loadPendingFeedbackCount,
Assign Case (If Processed as=non auto AND protocol status=pending),Send for MD / RN / PharmD Review (popups in Process),Route non-auto/pending cases for review,"Select Next Action, enter Case Notes, pick reviewer (MD/RN/PharmD), Send",Next Action*; Notes; Reviewer picklist,Buttons in Process,Back to Process,—,process → SendForMD/RN/PharmDPopups,"MD: GetAllNextActions, GetAllMDList?Type=&InsuranceProviderID=*, GetAssignmentCurrentReviewerByQueue • RN: GetAllNextActions, GetAllRNs?InsuranceProviderID=*, GetAssignmentCurrentReviewerByQueue • PharmD: GetAllNextActions, GetAllPharmD?InsuranceProviderID=*",
,Back to Dashboard (after Complete) #/my_assignments.html,Confirm case is removed from queues,Refresh counts/widgets,—,From Process (after Save/Complete),—,—,dashboard → MyAssignmentsContainer,"GetApplicationVersionAndIdleTimeOutKeepAlive, CheckUserPermission?PageURL=/my_assignments, GetProtocolAssignmentsList, GetMyCompletedAssignmentsCount, GetUserAssignmentCurrentlyAssignedToMe, GetMyDashboardCount, loadPendingFeedbackCount",
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
